Quartz;;France;;;4.5cm 46g;;B2;10/10/2015 12:09
Citrine;Pointe de Citrine;;15/08/2014;5.00 €;3.3cm 18g;;B2;10/10/2015 15:48
Améthyste;;Brésil;;;5.5cm 58g;;B2;10/10/2015 16:07
Pyrite;;Pérou;;;2cm 14g;;B2;10/10/2015 16:11
Lapis Lazuli;;Afghanistan;26/09/2014;;3cm 13g;;B2;10/10/2015 16:30
Bornite;;;;;4.5cm 72g;;B2;10/10/2015 16:32
Pyrite;;France;;;2.5cm 25g;;B2;10/10/2015 16:34
Célestite;;Madagascar;;;3.5cm 63g;;B2;10/10/2015 16:37
Nacre;;Australie;28/09/2014;;4cm 3g;;B2;10/10/2015 16:44
Calcédoine;;Afrique du Sud;28/09/2014;;4cm 11g;;B2;10/10/2015 16:58
Galène Argentifère;Minerai de plomb et d'argent.;France;;;5.3cm 53g;;B2;10/10/2015 18:23
Cornaline;;Brésil;28/09/2014;;2.5cm 9g;;B2;10/10/2015 18:27
Améthyste;;Brésil;28/09/2014;;4.5cm 12g;;B2;10/10/2015 18:33
Rhodonite;;Pérou;28/09/2014;;2.8cm 16g;;B2;10/10/2015 18:37
Aventurine;;Brésil;28/09/2014;;6.3cm 16g;;B2;10/10/2015 18:45
Jaspe;Jaspe héliotrope;Namibie;28/09/2014;;3.5cm 9g;;B2;10/10/2015 18:49
Quartz;Quartz Rose;Brésil;28/09/2014;;3.5cm 22g;;B2;10/10/2015 19:00
Agate;;brésil;28/09/2014;;2.5cm 25g;;B2;10/10/2015 19:05
Agate;Agate fine;;;5.00 €;8cm 19g;;B4;10/10/2015 20:08
Antimoine;;France;;;4.3cm 43g;;B2;10/10/2015 20:10
Quartz;Quartz Oeil de Chat;Brésil;;;2.5cm 10g;;B3;11/10/2015 08:15
Corindon;;Madagascar;;;3cm 38g;;B3;11/10/2015 08:16
Grenat;;Autriche;15/07/2015;;5.5cm 112g;;B3;11/10/2015 08:18
Oeil de Tigre;;Afrique du sud Prieska, Norther Cape;28/09/2014;;4.3cm 85g;;B3;11/10/2015 08:23
